image,r,n_cand,wmax,it_mean,t_amf_mean,t_solve_mean,psnr_mean,snr_mean,mae_mean,psnr_n_mean,tpr_mean,fpr_mean,psnr_noisy_mean,psnr_med3_mean,psnr_med7_mean,psnr_amf_mean,snr_amf_mean,it_std,t_amf_std,t_solve_std,psnr_std,snr_std,mae_std,psnr_n_std,tpr_std,fpr_std,psnr_noisy_std,psnr_med3_std,psnr_med7_std,psnr_amf_std,snr_amf_std
cameraman.tif,0.3,78671,7,72.66666666666667,0.8855442666681483,2.786164733338713,39.98675664752562,34.370318462088676,0.6508692072641953,34.78232577964968,0.9999957619217142,0.00047176716645233125,10.334866512416719,23.66874138904554,26.661513526434163,33.60610537995534,27.9896671945184,2.0548046676563256,0.19071850010967417,0.11639425838493644,0.13178771069932943,0.13178771069932627,0.005257373131617574,0.1789300969878073,5.993547790168108e-06,1.6181443900983882e-05,0.005447162240798819,0.11781707599656992,0.0772402107472535,0.12978165765483302,0.12978165765483587
cameraman.tif,0.5,130964,9,81.0,1.3815444000065327,5.193824033340206,35.40237899289689,29.78594080745995,1.4041666635359176,32.394250584031084,1.0,0.00048319747786433495,8.099565378554379,15.03041962261367,25.33069769138078,29.588993405121318,23.972555219684377,4.96655480858378,0.009055838378608618,0.2975912535069955,0.1160233405036383,0.11602334050363779,0.002492379337136412,0.12107745054216434,0.0,9.181323476397112e-06,0.0063467780160099555,0.03675905316864743,0.06599788095597717,0.08194653363510462,0.08194653363510629
house.tif,0.3,78595,7,43.666666666666664,1.045935399995263,1.549283500004094,48.165402176856674,43.45554065213414,0.31849203976347795,43.14220202486382,0.9999957619217142,4.899899305940933e-05,10.428446058764408,24.2400831703314,33.01352607006419,38.72203858216968,34.01217705744714,0.4714045207910317,0.01723074148743555,0.02532411778731676,0.41636796215847605,0.41636796215847394,0.002965923170431638,0.11319951015125604,5.993547790168108e-06,4.5032073270560985e-06,0.023863830244438305,0.05783772128804609,0.07406947160272488,0.09333334145860138,0.09333334145860138
house.tif,0.5,130906,9,52.666666666666664,1.275750899988149,3.1207836666726507,43.36257640869392,38.65271488397139,0.7078049451105018,40.35251568575352,1.0,3.814771758413367e-05,8.197640559370006,15.182206630724666,30.433702920854362,34.31287267375505,29.603011149032515,3.8586123009300755,0.01463169939673784,0.22036221034932213,0.07383535519298531,0.07383535519298573,0.004281163744206176,0.06818881694341991,0.0,5.012728052644603e-08,0.011418583472591436,0.024797827114729214,0.09815381799938314,0.042486562626583416,0.04248656262658402
jetplane.tif,0.3,78586,7,82.33333333333333,0.9075071666641937,2.7705237333332966,38.19837373868936,35.36042801006861,0.9206488136811407,32.97119738249919,0.9999957619217142,0.0,10.15748847554387,23.289481699409365,26.2322415076689,32.83002664683509,29.992080918214324,6.18241233033047,0.19176884958271967,0.28350138344790465,0.029393901508184946,0.02939390150818495,0.0028561250094767013,0.01407056208128663,5.993547790168108e-06,0.0,0.028226346586312994,0.03572669141283338,0.055630710010081574,0.033266192608298786,0.03326619260829885
jetplane.tif,0.5,130901,9,89.66666666666667,1.3402651666644185,5.097343199983395,34.09317230041852,31.255226571797753,1.8589943835903215,31.082945913104293,1.0,0.0,7.924916593607949,14.774081983675211,24.93404970300394,28.96055649489108,26.122610766270313,5.436502143433363,0.058538004085663176,0.273677515737193,0.025742927153568528,0.025742927153566873,0.008804131529443785,0.020090833304446512,0.0,0.0,0.012022391166101109,0.03205962269793508,0.11026850437525944,0.09384935524912659,0.09384935524912395
lake.tif,0.3,78586,7,173.0,0.9107722333380176,6.066001400002278,34.68369296720223,29.512322677725802,1.6777302828361176,29.451882289936975,0.9999957619217142,0.0,10.225262414827155,22.768063294305836,24.314452800710736,30.48880820564334,25.31743791616691,39.67366884975475,0.1921656818716129,1.3427563338250827,0.004959515596735199,0.004959515596730874,0.0012995244705491678,0.018402706321651738,5.993547790168108e-06,0.0,0.01106973617724904,0.009990649319451966,0.026169701040485275,0.1148498174640785,0.11484981746407766
lake.tif,0.5,130901,9,154.0,1.44081849999687,9.195283633326957,31.102398412058978,25.93102812258255,3.1478546168850827,28.092172024744755,1.0,0.0,8.000966600023835,14.755287353548008,23.35729985419731,27.05603903153307,21.884668742056643,50.039984012787215,0.0251509862769997,3.194600327226959,0.06300966823689805,0.06300966823689952,0.012603259620210456,0.06705273341285052,0.0,0.0,0.005884856341019485,0.03508649745099065,0.049618698087582895,0.088987745760464,0.08898774576046413
lena_gray_512.tif,0.3,78586,7,86.0,0.9385957666672766,2.828691633330891,38.35378231057717,32.697288303281475,1.0475776185755825,33.12470738635235,0.9999957619217142,0.0,10.677815799775674,23.98793009637107,28.25357467056654,33.87961030045046,28.22311629315477,2.943920288775949,0.17664118736891288,0.1316822509406135,0.009305130595605999,0.009305130595605999,0.003441532052969599,0.034457014976842525,5.993547790168108e-06,0.0,0.010690627436659616,0.026533126783737992,0.03485024832960484,0.050546357331963,0.050546357331961576
lena_gray_512.tif,0.5,130901,9,94.0,1.4031804333402154,5.423407933335208,34.71014052668673,29.053646519391037,1.9816043750218724,31.699914139372506,1.0,0.0,8.449471477825576,15.351067400918842,26.844551669495587,30.284788977940863,24.62829497064517,5.354126134736337,0.018201166139088003,0.3389501019079266,0.03850749924682975,0.03850749924682975,0.010173473606499782,0.03317918988004495,0.0,0.0,0.007315683950478088,0.04077446194915718,0.12617438014774626,0.0664816738455192,0.0664816738455192
livingroom.tif,0.3,78773,7,87.66666666666667,1.0545710999964892,2.9161656999979946,34.86438771915375,28.93097341014075,1.6133314703789061,29.639423597454908,0.9999915202841029,0.0009889487133622782,10.751395752980201,22.97004194840713,24.43265283511886,30.0363091984413,24.102894889428303,5.557777333511022,0.19538625008167138,0.2095348188327372,0.06889590037536505,0.06889590037536505,0.002420978903875774,0.086387876569341,5.996066198110025e-06,2.5519912100883385e-05,0.007376030416131618,0.03196163381505377,0.02357873448254896,0.06824092849627285,0.06824092849627447
livingroom.tif,0.5,131035,9,86.0,1.8418250333343167,4.941656333326439,31.167717522023384,25.234303213010392,3.137547404291205,28.161784617948058,0.9999898207159889,0.0009969252872873739,8.52248135930104,15.250810602195068,23.641123410173833,26.954358094680632,21.020943785667644,9.201449161228174,0.2698840278561667,0.5389487338911758,0.08681570227926663,0.08681570227926712,0.01549073722645407,0.08975774501402536,9.519230672986917e-06,3.191864078697318e-05,0.006167992580820275,0.01668048167512382,0.020227570655191957,0.021869933051001402,0.021869933051001402
mandril_gray.tif,0.3,78587,7,61.333333333333336,0.9097189333309265,1.9299706000019796,33.75332442252749,28.199547412869254,1.8570557399535552,28.51391064861563,0.9999957619217142,3.6325660712250342e-06,10.848163552830718,22.82663183853889,22.436867721495677,29.55570690027226,24.001929890614022,9.977753031397176,0.19117872626506333,0.2542882021397428,0.04917509354477388,0.04917509354477388,0.006770866095399342,0.05889579795383976,5.993547790168108e-06,2.5686122266453336e-06,0.010456872863235198,0.027558725865689648,0.006422103792113083,0.024160909812942596,0.024160909812943797
mandril_gray.tif,0.5,130902,9,60.666666666666664,1.4268604666673734,3.417951799997051,29.71716128169108,24.163384272032847,3.8691063698639687,26.7069569781457,1.0,5.087556242015031e-06,8.61975617739979,15.229883795240847,21.911596379009065,26.151476548317486,20.59769953865925,2.357022603955158,0.0253677299595606,0.12469379015128859,0.018820992496354102,0.01882099249635575,0.00676692761425607,0.014464888669419267,0.0,3.5974585964737633e-06,0.009747793465193813,0.03138125543236653,0.01037500275071381,0.024147966318152594,0.024147966318153424
peppers_gray.tif,0.3,78612,7,86.33333333333333,0.9641123666757873,2.8552520999898356,37.00030429731874,31.05772491981993,1.3974567564672487,31.775203806878793,0.9999957619217142,0.0001306590427830659,10.53095419152646,23.77973455036931,28.84893536823193,32.85652362235508,26.913944244856264,9.104333522498443,0.180146509998435,0.3019223955742625,0.03208263449341693,0.032082634493417576,0.003855305869386839,0.03494483651197308,5.993547790168108e-06,9.026059795505086e-06,0.007087308804825711,0.0834456879468384,0.02141740175694357,0.052998528453953433,0.05299852845395177
peppers_gray.tif,0.5,130919,9,92.33333333333333,1.329228300009466,5.33271980000427,34.18336849645465,28.24078911895583,2.438385346279473,31.17367218098163,1.0,0.000122079859654011,8.298748845451911,15.220363383883173,27.23834016046626,29.956364037392557,24.013784659893748,7.760297817881877,0.0289714106859265,0.4429384301089635,0.020954071442091333,0.020954071442089706,0.0013269761214156604,0.026678279823173306,0.0,2.1615769991085712e-05,0.00668417732828352,0.03188393160864699,0.04009851882976417,0.06163978541340513,0.06163978541340223
pirate.tif,0.3,78586,7,105.0,0.9098276666676005,3.54711959999986,35.544246693260725,29.096216835934808,1.4044925173373948,30.30649994251174,0.9999957619217142,0.0,10.642264035862544,23.400182741992314,26.34998844360993,31.44831682131345,25.000286963987538,10.198039027185569,0.1928436080527467,0.3471434144494694,0.08307880650140671,0.08307880650140716,0.010005861644862996,0.06998575136256462,5.993547790168108e-06,0.0,0.014865763092898644,0.019388244532038572,0.010816716092534907,0.02720742931285359,0.02720742931285359
pirate.tif,0.5,130901,9,99.66666666666667,1.3905881333339494,5.800702200009255,32.158482054162306,25.71045219683639,2.6712158641258767,29.148255666848076,1.0,0.0,8.408411195043046,15.22472695116827,25.243884483400365,28.230291875214377,21.782262017888467,5.2493385826745405,0.0049258748614384625,0.2966875978421765,0.024309574729409495,0.024309574729407146,0.005357200236852996,0.029385411175877084,0.0,0.0,0.014435992874790991,0.0567127839080941,0.04690766126423114,0.03552373896616534,0.035523738966166965
