image,r,seed,wmax,n_cand,tpr,fpr,it,t_amf,t_solve,psnr,snr,mae,psnr_n,converged,gap,psnr_noisy,psnr_med3,psnr_med7,psnr_amf,snr_amf
cameraman.tif,0.3,2026,7,78671,1.0,0.0004630688937556522,70,0.7113297999894712,2.644699099997524,39.84833029882465,34.231892113387715,0.658228329843811,34.621077785234974,True,0.006433822637461617,10.338157685834258,23.831767930529377,26.75522757092744,33.43630728923352,27.819869103796577
cameraman.tif,0.3,7,7,78191,1.0,0.0004944469800699832,73,0.7943335000018124,2.7840138000028674,39.947892948651315,34.33145476321438,0.6462717982140126,34.69406140355969,True,0.008261354026046774,10.33925279920365,23.557427863716846,26.566052660379093,33.63066062459179,28.014222439154853
cameraman.tif,0.3,42,7,78735,0.9999872857651426,0.0004577856255313583,75,1.1509695000131615,2.9297813000157475,40.16404669510087,34.54760850966393,0.6481074937347625,35.031838150154385,True,0.008869391750380373,10.327189052212248,23.617028372890402,26.66326034799596,33.751348226040705,28.13491004060377
cameraman.tif,0.5,2026,9,130964,1.0,0.0004800256013654062,88,1.3933850000030361,5.346339800016722,35.35146218621431,29.735024000777376,1.4068728713244099,32.33758227821656,True,0.009169045789548136,8.108482084904475,15.080521291245931,25.412265817292198,29.5373130798651,23.92087489442816
cameraman.tif,0.5,7,9,131078,1.0,0.000495687518588282,77,1.3713977000152227,5.457264600001508,35.29275322836358,29.67631504292664,1.4008577320177729,32.28265207141035,True,0.006315839485324659,8.095996771228656,15.01737749701164,25.25062544874602,29.52500200565529,23.908563820218347
cameraman.tif,0.5,42,9,131371,1.0,0.0004738793136393167,78,1.3798505000013392,4.777867700002389,35.56292156411277,29.94648337867583,1.4047693872655698,32.562517402466334,True,0.007815613608485705,8.094217279530008,14.993360079583429,25.32920180810413,29.704665129843562,24.088226944406625
house.tif,0.3,2026,7,78595,1.0,4.903082404471611e-05,44,1.0311660000006668,1.575992900005076,48.370584416773994,43.66072289205146,0.3181646821275338,43.139134380109525,True,0.008617725486431027,10.408780541239867,24.32060986768553,33.04577149937155,38.6735697384863,33.963708213763766
house.tif,0.3,7,7,78108,1.0,4.3467866379778746e-05,43,1.0701053999946453,1.5565908999997191,48.54079495430972,43.830933429587176,0.3150342992308367,43.28235091068818,True,0.00762508790865013,10.46203116806872,24.212245249840805,33.08371444480143,38.85259678938293,34.142735264660395
house.tif,0.3,42,7,78661,0.9999872857651426,5.4498288753733136e-05,44,1.036534799990477,1.515266700007487,47.5848271594863,42.87496563476377,0.32227713793206336,43.00512078379377,True,0.008466612629320025,10.414526466984634,24.18739439346785,32.91109226601958,38.63994921863979,33.93008769391726
house.tif,0.5,2026,9,130906,1.0,3.809726994963541e-05,49,1.2823321999749169,2.9277603000227828,43.446001103395695,38.73613957867316,0.701999135627902,40.43019741028608,True,0.007700234642527448,8.18352113721192,15.169071264878744,30.39477910135227,34.275141226703575,29.56527970198104
house.tif,0.5,7,9,131018,1.0,3.812980912217554e-05,58,1.2894497999805026,3.429181500017876,43.375249075364806,38.66538755064228,0.7092205782908986,40.363159511921644,True,0.008737866655678772,8.211486838891357,15.216934479973279,30.56855529896528,34.37223426661687,29.662372741894337
house.tif,0.5,42,9,131314,1.0,3.821607368059006e-05,51,1.2554707000090275,3.0054091999772936,43.26647904732126,38.55661752259873,0.7121951214127054,40.26419013505283,True,0.0022261645992216472,8.197913702006735,15.160614147321978,30.337774362245536,34.2912425279447,29.581381003222166
jetplane.tif,0.3,2026,7,78586,1.0,0.0,79,0.7766187000088394,2.656123699998716,38.22230208635216,35.3843563577314,0.9197006040702769,32.9903547058177,True,0.005577756410218626,10.122376836811695,23.242521225196768,26.24225174929538,32.80742805948038,29.96948233085962
jetplane.tif,0.3,7,7,78100,1.0,0.0,91,0.7672474999853875,3.1605059999856167,38.21584725842261,35.37790152980185,0.9177226465849395,32.95695837767901,True,0.009841090982774858,10.191490254339918,23.329105979232956,26.294816044603184,32.80559168183596,29.967645953215197
jetplane.tif,0.3,42,7,78651,0.9999872857651426,0.0,77,1.1786552999983542,2.494941500015557,38.15697187129333,35.31902614267257,0.924523190388206,32.96627906400087,True,0.005668695222368569,10.158598335479995,23.296817893798366,26.159656729108125,32.87706019918892,30.039114470568155
jetplane.tif,0.5,2026,9,130901,1.0,0.0,88,1.394347099994775,5.017900799983181,34.11597998296951,31.27803425434875,1.8561464086163861,31.100010406410654,True,0.009266261146919419,7.912305453029051,14.774584110966755,25.054156088003747,29.065604162256907,26.227658433636137
jetplane.tif,0.5,7,9,131013,1.0,0.0,97,1.2589433999964967,5.4651127999823075,34.10634293085943,31.268397202238663,1.849921425002716,31.09408762577425,True,0.00428199579801003,7.9410976985158666,14.813093370442502,24.960133359746635,28.97828430109481,26.140338572474047
jetplane.tif,0.5,42,9,131309,1.0,0.0,84,1.3675050000019837,4.809015999984695,34.05719398742661,31.219248258805848,1.8709153171518624,31.054739707127975,True,0.00909328088970085,7.92134662927893,14.734568469616375,24.78785966126143,28.83778102132151,25.999835292700748
lake.tif,0.3,2026,7,78586,1.0,0.0,204,0.7755749000061769,7.083848899987061,34.687867815216784,29.516497525740352,1.6795313051407552,29.455920434682326,True,0.009724109676525927,10.218470802972686,22.7781904283091,24.286354186348103,30.326386133457266,25.155015843980838
lake.tif,0.3,7,7,78100,1.0,0.0,117,0.7742074000125285,4.168739899992943,34.686486442238454,29.515116152762026,1.6765129361302655,29.427597561494846,True,0.009610003991113558,10.240873542889501,22.771532046941708,24.349361896529466,30.569865269711155,25.398494980234723
lake.tif,0.3,42,7,78651,0.9999872857651426,0.0,198,1.1825343999953475,6.945415400026832,34.67672464415144,29.50535435467502,1.6771466072373324,29.47212887363375,True,0.0011048064419298953,10.216442898619281,22.754467407666713,24.307642319254636,30.5701732137616,25.39880292428517
lake.tif,0.5,2026,9,130901,1.0,0.0,84,1.4714579000137746,4.724846900004195,31.104274489335904,25.932904199859475,3.149869582647778,28.08830491277704,True,0.006717612731591771,8.003730268652472,14.708884566791046,23.287400618550315,26.94275267981432,21.77138239033789
lake.tif,0.5,7,9,131013,1.0,0.0,198,1.4098533999931533,11.995836799993413,31.024306710594157,25.852936421117725,3.162183957805065,28.01205140550898,True,0.008946878336118402,7.992786317135395,14.763267725575789,23.397596942622336,27.065217691920513,21.893847402444088
lake.tif,0.5,42,9,131309,1.0,0.0,180,1.4411441999836825,10.865167199983262,31.178614036246884,26.007243746770456,3.1315103102024064,28.176159755948245,True,0.00138956654141964,8.006383214283638,14.79370976827719,23.386902001419287,27.160146722864376,21.988776433387947
lena_gray_512.tif,0.3,2026,7,78586,1.0,0.0,85,0.8598084000113886,2.8084263000055216,38.35744822265555,32.70095421535986,1.0445408384723074,33.125500842121085,True,0.009183267054979183,10.671153313202995,24.02295497077968,28.270635257739247,33.80838022672264,28.151886219426952
lena_gray_512.tif,0.3,7,7,78100,1.0,0.0,90,0.7726906999887433,2.9991436999989673,38.34100408160501,32.684510074309316,1.0458021219775784,33.082115200861395,True,0.005335393055730719,10.692900456480501,23.982077584332842,28.285088252753447,33.92043194915343,28.263937941857744
