mu,it,t,converged,final_gap,psnr
1.0,85,3.09,True,0.009183267054979183,38.3574
0.1,85,3.25,True,0.00909418206150292,38.3575
0.01,85,3.18,True,0.009093159348694257,38.3575
0.001,85,3.04,True,0.009093149119578925,38.3575
0.0001,85,3.09,True,0.009093148981946797,38.3575
