potential,r,psnr_mean,snr_mean,ssim_mean,edge_psnr_mean,mae_mean,psnr_n_mean,it_mean,t_mean,psnr_std,snr_std,ssim_std,edge_psnr_std,mae_std,psnr_n_std,it_std,t_std,alpha,beta
sqrt,0.3,38.42841496816456,32.68991111142074,0.9690822107936304,34.594856268745055,1.0295884743435197,33.18506550600477,115.66666666666667,3.9286187500013816,1.182492757464757,1.3145380594048528,0.019245503444350873,0.39740185443857107,0.3045150362154962,1.1840217286897239,17.55625877635159,0.9153460233402536,300.0,640.0
sqrt,0.5,34.70024963090509,28.96174577416127,0.940878683630924,30.61632086825476,1.9633318791167902,31.68701031287883,53.0,3.05959388333819,0.4982872686814984,0.6359404075144566,0.03008561679398114,0.1014857781667899,0.42449847299753674,0.4988826909903237,4.08248290463863,0.23487694846178328,1000.0,640.0
power,0.3,38.38512595250992,32.6466220957661,0.9685744689783159,34.55948713329112,1.0201877851183292,33.141776490350125,137.16666666666666,9.782489516670466,1.2210150725499949,1.3535006563798113,0.01960390665691964,0.4325561267234327,0.29336373346685,1.222579080106708,17.601294144339374,1.1741918781132292,1.4,640.0
power,0.5,34.7311430234422,28.992639166698392,0.9408787969376095,30.653106160127837,1.9397203624680313,31.717903705415953,84.5,10.205150433335803,0.5244751485967126,0.6609547203018272,0.02994204594989852,0.07687596313494262,0.4119982939808543,0.525110612419357,3.730504880933232,0.3109540766488949,1.6,160.0
logcosh,0.3,38.2924770014933,32.553973144749484,0.9689596572205743,34.43972668395286,1.0257798418886301,33.049127539333504,608.3333333333334,43.44965823333283,1.1089116147361417,1.2396125380535334,0.019212892648209263,0.3425672990173797,0.3021622592248563,1.110324724528002,203.8918558669985,15.874582448791971,0.1,640.0
logcosh,0.5,34.641492651435236,28.90298879469142,0.9409093862585286,30.565719223831152,1.9255440661285828,31.62825333340898,607.6666666666666,72.32082716666628,0.397981114019949,0.5315769040568309,0.02974963942339501,0.2303781789829162,0.419529727026388,0.398721368170726,136.97526135117326,17.69571621647697,0.1,640.0
log1,0.3,38.37434780532527,32.63584394858146,0.9684527967260367,34.5554039169136,1.0117752216318319,33.13099834316548,520.8333333333334,30.253535349998856,1.2049823037468321,1.336745836978247,0.0196089006463129,0.4130628808962672,0.2953228867426734,1.206464659867736,56.68749617175045,3.791173759053343,3.0,640.0
log1,0.5,34.67863281374218,28.940128956998368,0.9401479443541215,30.619192522476055,1.900961399738969,31.665393495715932,610.8333333333334,60.13488681666786,0.4542821560159462,0.5867491037043343,0.02984949096005553,0.18876453355368894,0.4056965631828453,0.45504265185027953,64.25318842067078,6.496537784624018,3.0,640.0
huber,0.3,38.237713313382876,32.49920945663906,0.9688168807704121,34.3632632085261,1.0525677511810385,32.99436385122308,757.0,31.670750933335512,1.1019513351638897,1.235039471439851,0.019273956834152357,0.33949548631181187,0.30222423804866566,1.1033997297654812,101.28836721624717,6.077000159692009,30.0,640.0
huber,0.5,34.60067694048094,28.862173083737122,0.9406048638869827,30.503334111893082,1.9778799908369216,31.587437622454686,739.5,52.87223230000139,0.44607678539342366,0.5854567516721425,0.030091853205972206,0.14844571388933095,0.4211230296817694,0.44665743741313063,296.1332751763413,21.403617764859423,30.0,640.0
