image,r,seed,potential,alpha,beta,wmax,edge_frac,it,t,psnr,snr,mae,ssim,edge_psnr,psnr_n,converged
lena_gray_512.tif,0.3,2026,sqrt,300.0,40.0,7,0.3325462341308594,74,2.6433013000059873,37.37326891504061,31.71677490774492,1.2750061133966777,0.9622665245795227,33.565293504125464,32.71864975040899,True
lena_gray_512.tif,0.3,2026,power,1.4,5.0,7,0.3325462341308594,1500,100.9960225999821,37.36748578462618,31.71099177733049,1.2695374104563384,0.9621416704322039,33.56778666833504,32.712866619994564,False
lena_gray_512.tif,0.3,2026,logcosh,0.1,640.0,7,0.3325462341308594,677,41.5777782999794,37.247391536998904,31.590897529703213,1.2730399665531564,0.9620744802297464,33.411143218979035,32.59277237236729,True
lena_gray_512.tif,0.3,2026,log1,3.0,640.0,7,0.3325462341308594,485,24.85781909999787,37.36073443778655,31.704240430490852,1.2625036828619374,0.9620456816543481,33.5603312922419,32.70611527315493,True
lena_gray_512.tif,0.3,2026,huber,30.0,40.0,7,0.3325462341308594,102,4.028210000018589,37.21391389693842,31.55741988964273,1.2981006846848806,0.9619652945639607,33.365850210239365,32.5592947323068,True
lena_gray_512.tif,0.3,7,sqrt,300.0,40.0,7,0.3325462341308594,91,2.761839600017993,37.413172376337315,31.756678369041623,1.2737349254320536,0.9620629557878336,33.631981428449166,32.73414735752648,True
lena_gray_512.tif,0.3,7,power,1.4,5.0,7,0.3325462341308594,1500,93.18238670000574,37.39213669554025,31.735642688244564,1.2702364909896218,0.9618845741884979,33.615474662953474,32.713111676729426,False
lena_gray_512.tif,0.3,7,logcosh,0.1,640.0,7,0.3325462341308594,935,58.93145750000258,37.30591453384636,31.64942052655067,1.269900082552487,0.9618797587304594,33.50044587432015,32.62688951503553,True
lena_gray_512.tif,0.3,7,log1,3.0,640.0,7,0.3325462341308594,535,27.43658810001216,37.382519109009664,31.726025101713972,1.2626686787799961,0.9617732829273871,33.60446711404231,32.70349409019883,True
lena_gray_512.tif,0.3,7,huber,30.0,40.0,7,0.3325462341308594,112,4.090705999988131,37.278602943062786,31.622108935767095,1.2946566401931492,0.9618142813381064,33.46195372717549,32.59957792425196,True
lena_gray_512.tif,0.5,2026,sqrt,300.0,640.0,9,0.3325462341308594,112,5.6177748999907635,34.56180573912683,28.905311731831137,2.044254709393121,0.9410864691033365,30.46865018970575,31.654190564102525,True
lena_gray_512.tif,0.5,2026,power,1.6,80.0,9,0.3325462341308594,1500,146.47883870001533,34.57982869328021,28.923334685984518,2.0467569951957816,0.9410193492965897,30.491981787709584,31.67221351825591,False
lena_gray_512.tif,0.5,2026,logcosh,0.1,640.0,9,0.3325462341308594,1136,107.20009019999998,34.42229288030832,28.765798873012628,2.0403560632141895,0.9406594897888043,30.30577556885328,31.51467770528402,True
lena_gray_512.tif,0.5,2026,log1,3.0,640.0,9,0.3325462341308594,678,54.73131940001622,34.44941977992049,28.7929257726248,2.032517543420165,0.9400474048355317,30.344789683698895,31.541804604896186,True
