method,it_mean,it_std,t_mean,rel_mean,obj_mean,tp_mean,fp_mean,it_to_target_mean,t_to_target_mean,conv_all
GPSR-BB,29.1,2.879236009777594,0.09342748000635766,0.23658330496881605,6.698346137226567,160.0,8.7,29.1,0.09342748000635766,True
GPSR-BB+debias,30.1,2.879236009777594,0.09831862000573892,0.026538365928791146,7.492534890794924,160.0,2.8,29.1,0.09831862000573892,True
CG-prp+,279.1,19.413654988177782,2.2362091999937546,0.24224363974102073,6.731454676875998,160.0,9.5,nan,nan,True
CG-fr,1536.9,58.160897517146346,19.6593144100043,0.2422428507447063,6.731454597356844,160.0,9.5,nan,nan,True
CG-hs+,284.9,20.349201458533944,2.319439370004693,0.24224356898407887,6.731454674459533,160.0,9.5,nan,nan,True
CG-dy,1530.7,57.903454128402394,19.60372788999812,0.2422428465520317,6.7314545966786765,160.0,9.5,nan,nan,True
CG-PRP+续延,653.6,18.542923178398816,6.308097720003571,0.23678699137686138,6.701654406757269,160.0,8.7,257.3,2.115292299995781,True
CG-PRP+续延+debias,653.6,18.542923178398816,6.308097720003571,0.026681330523980314,7.493092197379802,160.0,2.8,257.3,2.115292299995781,True
